date,game_label,player,rw_team,rw_projected,our_projected,actual_minutes,proj_source,rw_date_source
2026-07-16,Portland Fire vs Washington Mystics,Sonia Citron,Washington Mystics,32.0,32.1,29.3,replay,
2026-07-16,Portland Fire vs Washington Mystics,Kiki Iriafen,Washington Mystics,29.0,28.4,24.0,replay,
2026-07-16,Portland Fire vs Washington Mystics,Carla Leite,Portland Fire,27.0,28.0,23.0,replay,
2026-07-16,Portland Fire vs Washington Mystics,Shakira Austin,Washington Mystics,29.0,28.1,33.5,replay,
2026-07-16,Portland Fire vs Washington Mystics,Bridget Carleton,Portland Fire,30.0,32.8,26.0,replay,
2026-07-16,Portland Fire vs Washington Mystics,Sarah Ashlee Barker,Portland Fire,26.0,23.2,24.0,replay,
2026-07-16,Portland Fire vs Washington Mystics,Michaela Onyenwere,Washington Mystics,25.0,24.8,26.1,replay,
2026-07-16,Portland Fire vs Washington Mystics,Emily Engstler,Portland Fire,26.0,26.1,21.8,replay,
2026-07-16,Portland Fire vs Washington Mystics,Frieda Buhner,Portland Fire,20.0,16.0,18.2,replay,
2026-07-16,Portland Fire vs Washington Mystics,Lauren Betts,Washington Mystics,17.0,16.6,12.3,replay,
2026-07-16,Portland Fire vs Washington Mystics,Georgia Amoore,Washington Mystics,22.0,23.2,15.7,replay,
2026-07-16,Portland Fire vs Washington Mystics,Serah Williams,Portland Fire,18.0,14.0,24.7,replay,
2026-07-16,Portland Fire vs Washington Mystics,Cotie McMahon,Washington Mystics,18.0,17.7,12.1,replay,
2026-07-16,Portland Fire vs Washington Mystics,Nyadiew Puoch,Portland Fire,20.0,17.6,14.0,replay,
2026-07-16,Portland Fire vs Washington Mystics,Teja Oblak,Portland Fire,10.0,14.0,17.0,replay,
2026-07-16,Portland Fire vs Washington Mystics,Alicia Florez,Washington Mystics,15.0,12.1,17.7,replay,
2026-07-16,Portland Fire vs Washington Mystics,Karlie Samuelson,Portland Fire,12.0,15.1,13.4,replay,
2026-07-16,Portland Fire vs Washington Mystics,Luisa Geiselsoder,Portland Fire,8.0,13.2,15.3,replay,
2026-07-16,Portland Fire vs Washington Mystics,Cassandre Prosper,Washington Mystics,9.0,11.2,16.6,replay,
2026-07-16,Portland Fire vs Washington Mystics,Holly Winterburn,Portland Fire,3.0,0.0,2.6,replay,
2026-07-16,Portland Fire vs Washington Mystics,Lucy Olsen,Washington Mystics,2.0,5.8,2.6,replay,
2026-07-16,Portland Fire vs Washington Mystics,Angela Dugalic,Washington Mystics,2.0,0.0,7.6,replay,
2026-07-17,Atlanta Dream vs Toronto Tempo,Marina Mabrey,Toronto Tempo,32.0,29.2,31.3,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Kahleah Copper,Phoenix Mercury,34.0,31.3,34.7,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Kelsey Mitchell,Indiana Fever,31.0,35.5,33.6,replay,inferred
2026-07-17,Atlanta Dream vs Toronto Tempo,Allisha Gray,Atlanta Dream,35.0,35.7,29.8,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Caitlin Clark,Indiana Fever,31.0,28.0,29.5,replay,inferred
