team_name,player_name,position
Atlanta Dream,Aaliyah Nye,G-F
Atlanta Dream,Allisha Gray,G
Atlanta Dream,Angel Reese,F
Atlanta Dream,Brionna Jones,F
Atlanta Dream,Indya Nivar,G
Atlanta Dream,Isobel Borlase,G
Atlanta Dream,Jaylyn Sherrod,G
Atlanta Dream,Jordin Canada,G
Atlanta Dream,Madina Okot,C
Atlanta Dream,Naz Hillmon,F
Atlanta Dream,Rhyne Howard,G
Atlanta Dream,Shatori Walker-Kimbrough,G
Atlanta Dream,Sika Koné,F
Atlanta Dream,Te-Hina Paopao,G
Chicago Sky,Aicha Coulibaly,G
Chicago Sky,Azurá Stevens,F-C
Chicago Sky,Courtney Vandersloot,G
Chicago Sky,DiJonai Carrington,G-F
Chicago Sky,Elizabeth Williams,C-F
Chicago Sky,Gabriela Jaquez,G
Chicago Sky,Jacy Sheldon,G
Chicago Sky,Kamilla Cardoso,C
Chicago Sky,Morgan Maly,F
Chicago Sky,Natasha Cloud,G
Chicago Sky,Rachel Banham,G
Chicago Sky,Rickea Jackson,F
Chicago Sky,Skylar Diggins,G
Chicago Sky,Sydney Taylor,G
Connecticut Sun,Aaliyah Edwards,F
Connecticut Sun,Ashlon Jackson,G
Connecticut Sun,Brittney Griner,C
Connecticut Sun,Charlisse Leger-Walker,G
Connecticut Sun,Diamond Miller,F
Connecticut Sun,Gianna Kneepkens,G
Connecticut Sun,Hailey Van Lith,G
Connecticut Sun,Kennedy Burke,G-F
Connecticut Sun,Nell Angloma,F
Connecticut Sun,Olivia Nelson-Ododa,C
Connecticut Sun,Raegan Beers,F
Connecticut Sun,Rayah Marshall,C-F
Connecticut Sun,Saniya Rivers,G
Dallas Wings,Alanna Smith,F
Dallas Wings,Alysha Clark,F
Dallas Wings,Arike Ogunbowale,G
Dallas Wings,Awak Kuier,F
Dallas Wings,Aziaha James,G
Dallas Wings,Azzi Fudd,G
Dallas Wings,Christyn Williams,G
Dallas Wings,Haley Jones,F-G
Dallas Wings,Jessica Shepard,F
Dallas Wings,Li Yueru,C
Dallas Wings,Maddy Siegrist,F
Dallas Wings,Odyssey Sims,G
Dallas Wings,Paige Bueckers,G
Dallas Wings,Sug Sutton,G
Golden State Valkyries,Ashten Prechtel,F
Golden State Valkyries,Cecilia Zandalasini,F
Golden State Valkyries,Gabby Williams,F
Golden State Valkyries,Iliana Rupert,C
Golden State Valkyries,Janelle Salaün,F
Golden State Valkyries,Justė Jocytė,G-F
Golden State Valkyries,Kaila Charles,G-F
Golden State Valkyries,Kaitlyn Chen,G
Golden State Valkyries,Kayla Thornton,F
Golden State Valkyries,Kiah Stokes,C
Golden State Valkyries,Laeticia Amihere,F
Golden State Valkyries,Miela Sowah,G
Golden State Valkyries,Nadia Fingall,C
Golden State Valkyries,Tiffany Hayes,G
Golden State Valkyries,Veronica Burton,G
Indiana Fever,Aliyah Boston,C-F
Indiana Fever,Bree Hall,G
Indiana Fever,Caitlin Clark,G
Indiana Fever,Damiris Dantas,C-F
Indiana Fever,Grace VanSlooten,F
Indiana Fever,Kelsey Mitchell,G
Indiana Fever,Lexie Hull,G
Indiana Fever,Makayla Timpson,F-C
Indiana Fever,Mercedes Russell,C
Indiana Fever,Michelle Onyiah,F-C
Indiana Fever,Monique Billings,F
Indiana Fever,Myisha Hines-Allen,F
Indiana Fever,Raven Johnson,G
Indiana Fever,Sophie Cunningham,G
Indiana Fever,Tyasha Harris,G
Las Vegas Aces,A'ja Wilson,C
Las Vegas Aces,Brianna Turner,F-C
Las Vegas Aces,Chelsea Gray,G
Las Vegas Aces,Cheyenne Parker-Tyus,F
Las Vegas Aces,Dana Evans,G
Las Vegas Aces,Jackie Young,G
Las Vegas Aces,Janiah Barker,F
Las Vegas Aces,Jewell Loyd,G
Las Vegas Aces,Justine Pissott,G-F
Las Vegas Aces,Kierstan Bell,F
Las Vegas Aces,Mai Yamamoto,G
Las Vegas Aces,NaLyssa Smith,F
Las Vegas Aces,Stephanie Talbot,F
Las Vegas Aces,Ta'Niya Latson,G
Los Angeles Sparks,Alissa Pili,F
Los Angeles Sparks,Ariel Atkins,G
Los Angeles Sparks,Cameron Brink,F
Los Angeles Sparks,Chance Gray,G
Los Angeles Sparks,Dearica Hamby,F
Los Angeles Sparks,Emma Cannon,F
Los Angeles Sparks,Erica Wheeler,G
Los Angeles Sparks,Jihyun Park,G
Los Angeles Sparks,Kate Martin,G
Los Angeles Sparks,Monique Akoa Makani,G
Los Angeles Sparks,Nneka Ogwumike,F
Los Angeles Sparks,Rae Burrell,G-F
Los Angeles Sparks,Tonie Morgan,G
Minnesota Lynx,Anastasiia Olairi Kosu,F
Minnesota Lynx,Antonia Delaere,G
Minnesota Lynx,Chloe Bibby,F
Minnesota Lynx,Courtney Williams,G
Minnesota Lynx,Dorka Juhász,F
Minnesota Lynx,Elena Buenavida,G
Minnesota Lynx,Eliska Joklova,G
Minnesota Lynx,Emma Cechova,C
Minnesota Lynx,Kayla McBride,G
Minnesota Lynx,Liatu King,F
Minnesota Lynx,Maya Caldwell,G
Minnesota Lynx,Napheesa Collier,F
Minnesota Lynx,Natasha Howard,F
Minnesota Lynx,Nia Coffey,F
Minnesota Lynx,Olivia Miles,G
New York Liberty,Anneli Maley,F
New York Liberty,Breanna Stewart,F
New York Liberty,Elizabeth Balogun,F
New York Liberty,Han Xu,C
New York Liberty,Jonquel Jones,C
New York Liberty,Leonie Fiebich,F
New York Liberty,Marine Fauthoux,G
New York Liberty,Marine Johannes,G
New York Liberty,Pauline Astier,G
New York Liberty,Raquel Carrera,C
New York Liberty,Rebecca Allen,F-G
New York Liberty,Rebekah Gardner,G
New York Liberty,Sabrina Ionescu,G
New York Liberty,Satou Sabally,F
Phoenix Mercury,Alyssa Thomas,F
Phoenix Mercury,DeWanna Bonner,F-G
Phoenix Mercury,Kahleah Copper,G-F
Phoenix Mercury,Kara Dunn,G
Phoenix Mercury,Kelsey Plum,G
Phoenix Mercury,Kyara Linskens,C
Phoenix Mercury,Lexi Held,G
Phoenix Mercury,Maddy Westbeld,F
Phoenix Mercury,Marta Suarez,F
Phoenix Mercury,Natasha Mack,F-C
Phoenix Mercury,Noemie Brochant,F-G
Phoenix Mercury,Sami Whitcomb,G
Phoenix Mercury,Shay Ciezki,G
Phoenix Mercury,Valeriane Ayayi,F
Portland Fire,Amy Okonkwo,F
Portland Fire,Bridget Carleton,F
Portland Fire,Carla Leite,G
Portland Fire,Emily Engstler,F
Portland Fire,Frieda Buhner,F-C
Portland Fire,Holly Winterburn,G
Portland Fire,Jordan Harrison,G
Portland Fire,Karlie Samuelson,G
Portland Fire,Megan DiLeo,C
Portland Fire,Nyadiew Puoch,F
Portland Fire,Sania Feagin,F
Portland Fire,Sarah Ashlee Barker,G
Portland Fire,Serah Williams,F
Portland Fire,Teja Oblak,G
Seattle Storm,Awa Fam,C
Seattle Storm,Dominique Malonga,C
Seattle Storm,Ezi Magbegor,F-C
Seattle Storm,Flau'jae Johnson,G
Seattle Storm,Jade Melbourne,G
Seattle Storm,Jordan Horston,F
Seattle Storm,Katie Lou Samuelson,G
Seattle Storm,Mackenzie Holmes,F
Seattle Storm,Natisha Hiedeman,G
Seattle Storm,Stefanie Dolson,C
Seattle Storm,Taina Mair,G
Seattle Storm,Taylor Thierry,G-F
Seattle Storm,Zia Cooke,G
Toronto Tempo,Aneesah Morrow,F
Toronto Tempo,Brittney Sykes,G
Toronto Tempo,Isabelle Harrison,F
Toronto Tempo,Julie Allemand,G
Toronto Tempo,Kia Nurse,G
Toronto Tempo,Kiana Williams,G
Toronto Tempo,Kiki Rice,G
Toronto Tempo,Laura Juškaitė,F
Toronto Tempo,Maria Conde,F
Toronto Tempo,Marina Mabrey,G
Toronto Tempo,Nyara Sabally,F
Toronto Tempo,Ornella Bankole,F
Toronto Tempo,Temi Fágbénlé,C
Toronto Tempo,Teonni Key,F
Toronto Tempo,Zaay Green,G
Washington Mystics,Alicia Flórez,G
Washington Mystics,Angela Dugalić,F
Washington Mystics,Betnijah Laney-Hamilton,G-F
Washington Mystics,Cassandre Prosper,G
Washington Mystics,Cotie McMahon,G
Washington Mystics,Darianna Littlepage-Buggs,G-F
Washington Mystics,Georgia Amoore,G
Washington Mystics,Kiki Iriafen,F
Washington Mystics,Lauren Betts,C
Washington Mystics,Lucy Olsen,G
Washington Mystics,Michaela Onyenwere,F
Washington Mystics,Rori Harmon,G
Washington Mystics,Shakira Austin,C
Washington Mystics,Sonia Citron,G
