player_name,status,injury,comment,team,dnp_type,exported_at
Aaliyah Nye,Day-To-Day,Ankle,The Sparks listed Nye as Doubtful for Sunday's (Sep. 20) game against the Fire.,Los Angeles Sparks,injury,2026-09-21T16:16:03.308776
Alanna Smith,Day-To-Day,Leg,Smith did not play in Saturday's (Sep. 19) game against the Mercury.,Dallas Wings,injury,2026-09-21T16:16:03.308776
Anastasiia Olairi Kosu,Out,Foot,The Lynx listed Olairi Kosu as Out for Sunday's (Sep. 20) game against the Sun.,Minnesota Lynx,injury,2026-09-21T16:16:03.308776
Aneesah Morrow,Out For Season,Knee,"Morrow will miss the rest of the 2026 season, according to Chelsea Leite of TSN reports Sunday (Aug. 23).",Toronto Tempo,injury,2026-09-21T16:16:03.308776
Azurá Stevens,Day-To-Day,Knee,Stevens did not play in Saturday's (Sep. 19) game against the Dream.,Chicago Sky,injury,2026-09-21T16:16:03.308776
Azzi Fudd,Out For Season,Knee,The WIngs said on Wednesday (Aug. 19) that Fudd will miss rest of the regular season after undergoing knee procedure.,Dallas Wings,injury,2026-09-21T16:16:03.308776
Bridget Carleton,Day-To-Day,Ankle,The Fire listed Carleton as Questionable for Sunday's (Sep. 20) game against the Sparks.,Portland Fire,injury,2026-09-21T16:16:03.308776
Brionna Jones,Out For Season,Leg,The Dream said on Thursday (Sept. 17) that Jones is OUT for the rest of the season due to a leg injury.,Atlanta Dream,injury,2026-09-21T16:16:03.308776
Brittney Griner,Out,Knee,The Sun listed Griner as OUT for Sunday's (Sep. 20) game against the Lynx.,Connecticut Sun,injury,2026-09-21T16:16:03.308776
Brittney Sykes,Out For Season,Foot,"Sykes will miss the remainder of the 2026 season, according to Chelsea Leite of TSN reports Sunday (Aug. 23).",Toronto Tempo,injury,2026-09-21T16:16:03.308776
Caitlin Clark,Day-To-Day,Back,The Fever listed Clark as Probable for Sunday's (Sep. 20) game against the Mystics.,Indiana Fever,injury,2026-09-21T16:16:03.308776
Cameron Brink,Day-To-Day,Ankle,The Sparks listed Brink as Doubtful for Sunday's (Sep. 20) game against the Fire.,Los Angeles Sparks,injury,2026-09-21T16:16:03.308776
Cecilia Zandalasini,Day-To-Day,Reconditioning,Zandalasini did not play in Friday's (Sep. 18) game against Portland.,Golden State Valkyries,injury,2026-09-21T16:16:03.308776
Damiris Dantas,Out For Season,Knee,The Fever said on Tuesday (Aug. 4) that Dantas will miss rest of season after undergoing surgery to repair a torn meniscus.,Indiana Fever,injury,2026-09-21T16:16:03.308776
Dearica Hamby,Day-To-Day,Knee,The Sparks listed Hamby as Doubtful for Sunday's (Sep. 20) game against the Fire.,Los Angeles Sparks,injury,2026-09-21T16:16:03.308776
DiJonai Carrington,Day-To-Day,Foot,Carrington did not play in Saturday's (Sep. 19) game against the Dream.,Chicago Sky,injury,2026-09-21T16:16:03.308776
Emma Cechova,Out For Season,Knee,"The Lynx said on Friday (May 15) that Cechova was diagnosed with a torn ACL in her right knee and will undergo season-ending surgery, per Meghan L. Hall of USA Today.",Minnesota Lynx,injury,2026-09-21T16:16:03.308776
Ezi Magbegor,Out For Season,ACL,The Storm announced on Thursday (Sept. 10) that Magbegor suffered a torn ACL during the FIBA World Cup and will miss the remainder of the season.,Seattle Storm,injury,2026-09-21T16:16:03.308776
Gabby Williams,Day-To-Day,Reconditioning,Williams did not play in Friday's (Sep. 18) game against Portland.,Golden State Valkyries,injury,2026-09-21T16:16:03.308776
Iliana Rupert,Out For Season,Pregnancy,"The Valkyries said on Thursday (May 7) that Rupert is pregnant, and the team has filed for a replacement contract ahead of the 2026 season, per Alexa Philippou of ESPN.com.",Golden State Valkyries,injury,2026-09-21T16:16:03.308776
Janelle Salaün,Day-To-Day,Reconditioning,Salaün did not play in Friday's (Sep. 18) game against Portland.,Golden State Valkyries,injury,2026-09-21T16:16:03.308776
Janiah Barker,Out For Season,Leg,"The Aces said on Wednesday's (Jul. 15) that Barker will be sidelined for the rest of the 2026 season, per Callie Fin of USA Today.",Las Vegas Aces,injury,2026-09-21T16:16:03.308776
Jordan Harrison,Day-To-Day,Ankle,The Fire listed Harrison as Questionable for Sunday's (Sep. 20) game against the Sparks.,Portland Fire,injury,2026-09-21T16:16:03.308776
Kahleah Copper,Day-To-Day,Groin,Copper did not play in Saturday's (Sep. 19) game against the Wings.,Phoenix Mercury,injury,2026-09-21T16:16:03.308776
Katie Lou Samuelson,Out For Season,Knee,The Storm announced on Saturday (Sept. 12) that Samuelson underwent an arthroscopic procedure on her left knee and will miss the rest of the season.,Seattle Storm,injury,2026-09-21T16:16:03.308776
Kelsey Plum,Out For Season,Leg,The Mercury said on Monday (Aug. 31) that Plum will miss the rest of the season.,Phoenix Mercury,injury,2026-09-21T16:16:03.308776
Kennedy Burke,Out For Season,Shoulder,The Sun said on Monday (Sept. 14) that Burke  suffered a sprained AC joint in the FIBA World Cup and will miss the rest of the 2026 season.,Connecticut Sun,injury,2026-09-21T16:16:03.308776
Marina Mabrey,Out,Adductor,"The Tempo announced on Wednesday (Sept. 17) that Mabrey will miss the final four games of the 2026 season, per Zulfi Sheikh of Sportsnet.",Toronto Tempo,injury,2026-09-21T16:16:03.308776
NaLyssa Smith,Out For Season,Leg,The Aces said on Thursday (Aug. 27) that Smith will miss rest of the season due to a leg injury.,Las Vegas Aces,injury,2026-09-21T16:16:03.308776
Natasha Cloud,Day-To-Day,Knee,Cloud did not play in Saturday's (Sep. 19) game against the Dream.,Chicago Sky,injury,2026-09-21T16:16:03.308776
Olivia Nelson-Ododa,Out,Knee,The Sun listed Nelson-Ododa as Out for Sunday's (Sep. 20) game against the Lynx.,Connecticut Sun,injury,2026-09-21T16:16:03.308776
Rickea Jackson,Out For Season,Knee,The Sky announced on Tuesday (May 19) that Jackson will miss the remainder of the season after suffering a torn ACL in her left knee.,Chicago Sky,injury,2026-09-21T16:16:03.308776
Sania Feagin,Out For Season,Knee,The Fire announced that Feagin tore her left ACL and will miss the rest of the season.,Portland Fire,injury,2026-09-21T16:16:03.308776
Sarah Ashlee Barker,Out For Season,Knee,The Fire announced that Barker suffered a torn ACL and will miss the rest of the season.,Portland Fire,injury,2026-09-21T16:16:03.308776
Satou Sabally,Out For Season,Head,The Liberty said on Thursday (Sept. 3) that Sabally will miss the rest of the season due to a head injury.,New York Liberty,injury,2026-09-21T16:16:03.308776
Skylar Diggins,Out For Season,Knee,The Sky said on Tuesday (Sept. 1) that Diggins will miss the rest of the season.,Chicago Sky,injury,2026-09-21T16:16:03.308776
Sonia Citron,Out,Personal,The Mystics listed Citron as OUT for Thursday's (Sept. 17) game against the Sky.,Washington Mystics,injury,2026-09-21T16:16:03.308776
Teja Oblak,Out,Knee,The Fire listed Oblak as Out for Sunday's (Sep. 20) game against the Sparks.,Portland Fire,injury,2026-09-21T16:16:03.308776
Zia Cooke,Out,Knee,The Storm listed Cooke as OUT for Sunday's (Sep. 20) game against the Aces.,Seattle Storm,injury,2026-09-21T16:16:03.308776
