player_full_name,team_name,season_starter_pct,season_gp,avg_minutes,recent_starter_pct,recent_gp,last3_true,last5_true,trend_3v6,exported_at
Aaliyah Nye,Atlanta Dream,0.0000,19,2.25,0.0000,2,4.70,4.41,1.38,2026-08-30T00:20:25.461815
Allisha Gray,Atlanta Dream,1.0000,39,32.91,1.0000,5,35.14,32.21,2.69,2026-08-30T00:20:25.461815
Angel Reese,Atlanta Dream,1.0000,38,31.53,1.0000,5,36.97,36.02,1.14,2026-08-30T00:20:25.461815
Brionna Jones,Atlanta Dream,0.0000,9,16.93,0.0000,0,15.25,16.75,-3.07,2026-08-30T00:20:25.461815
Indya Nivar,Atlanta Dream,0.0000,20,3.06,0.0000,0,2.24,1.63,-1.97,2026-08-30T00:20:25.461815
Isobel Borlase,Atlanta Dream,0.0256,39,13.01,0.0000,5,10.98,12.31,-9.28,2026-08-30T00:20:25.461815
Jaylyn Sherrod,Atlanta Dream,0.1000,10,7.08,0.1000,0,7.81,7.76,0.17,2026-08-30T00:20:25.461815
Jordin Canada,Atlanta Dream,1.0000,38,31.42,1.0000,5,31.91,30.53,4.06,2026-08-30T00:20:25.461815
Madina Okot,Atlanta Dream,0.0526,38,9.40,0.0000,5,8.36,9.91,-5.95,2026-08-30T00:20:25.461815
Naz Hillmon,Atlanta Dream,0.9474,38,29.32,1.0000,5,34.15,32.01,3.85,2026-08-30T00:20:25.461815
Rhyne Howard,Atlanta Dream,1.0000,38,34.55,1.0000,5,35.76,34.26,0.25,2026-08-30T00:20:25.461815
Shatori Walker-Kimbrough,Atlanta Dream,0.0000,9,2.93,0.0000,2,4.70,3.41,3.50,2026-08-30T00:20:25.461815
Sika Kone,Atlanta Dream,0.0323,31,5.15,0.0000,3,3.09,3.25,0.54,2026-08-30T00:20:25.461815
Te-Hina Paopao,Atlanta Dream,0.0333,30,11.44,0.0000,5,5.68,6.68,-2.64,2026-08-30T00:20:25.461815
Aicha Coulibaly,Chicago Sky,0.1481,27,13.48,0.0000,5,11.60,13.77,-3.24,2026-08-30T00:20:25.461815
Azura Stevens,Chicago Sky,0.9667,30,24.77,1.0000,6,25.49,25.48,2.99,2026-08-30T00:20:25.461815
Chloe Bibby,Chicago Sky,0.0000,4,12.79,0.0000,0,10.58,12.79,-8.84,2026-08-30T00:20:25.461815
Courtney Vandersloot,Chicago Sky,0.8636,22,21.92,1.0000,6,26.24,27.17,2.09,2026-08-30T00:20:25.461815
