absent_player,team_name,teammate,avg_mins,games_sampled
Te-Hina Paopao,Atlanta Dream,Jordin Canada,33.03,3
Te-Hina Paopao,Atlanta Dream,Allisha Gray,32.99,3
Te-Hina Paopao,Atlanta Dream,Rhyne Howard,32.54,3
Te-Hina Paopao,Atlanta Dream,Angel Reese,28.96,3
Te-Hina Paopao,Atlanta Dream,Naz Hillmon,26.86,3
Te-Hina Paopao,Atlanta Dream,Brionna Jones,17.22,3
Te-Hina Paopao,Atlanta Dream,Isobel Borlase,15.95,3
Te-Hina Paopao,Atlanta Dream,Madina Okot,5.81,3
Te-Hina Paopao,Atlanta Dream,Jaylyn Sherrod,5.28,3
Te-Hina Paopao,Atlanta Dream,Shatori Walker-Kimbrough,1.17,2
Aicha Coulibaly,Chicago Sky,Paige Bueckers,35.81,2
Aicha Coulibaly,Chicago Sky,Jessica Shepard,34.18,2
Aicha Coulibaly,Chicago Sky,Azzi Fudd,34.14,2
Aicha Coulibaly,Chicago Sky,Arike Ogunbowale,31.02,2
Aicha Coulibaly,Chicago Sky,Skylar Diggins,28.78,9
Aicha Coulibaly,Chicago Sky,Kamilla Cardoso,27.85,10
Aicha Coulibaly,Chicago Sky,Leila Lacan,26.80,2
Aicha Coulibaly,Chicago Sky,Diamond Miller,25.83,2
Aicha Coulibaly,Chicago Sky,Natasha Cloud,25.73,11
Aicha Coulibaly,Chicago Sky,Brittney Griner,25.46,2
Aicha Coulibaly,Chicago Sky,Azura Stevens,24.91,10
Aicha Coulibaly,Chicago Sky,Gabriela Jaquez,21.52,9
Aicha Coulibaly,Chicago Sky,Jacy Sheldon,21.33,11
Aicha Coulibaly,Chicago Sky,Aneesah Morrow,20.38,2
Aicha Coulibaly,Chicago Sky,Li Yueru,19.06,2
Aicha Coulibaly,Chicago Sky,Sydney Taylor,18.50,10
Aicha Coulibaly,Chicago Sky,Charlisse Leger-Walker,18.47,2
Aicha Coulibaly,Chicago Sky,Saniya Rivers,18.38,2
Aicha Coulibaly,Chicago Sky,Olivia Nelson-Ododa,18.28,2
Aicha Coulibaly,Chicago Sky,Elizabeth Williams,18.19,11
Aicha Coulibaly,Chicago Sky,Courtney Vandersloot,17.91,3
Aicha Coulibaly,Chicago Sky,Rachel Banham,15.24,10
Aicha Coulibaly,Chicago Sky,Nell Angloma,12.16,2
Aicha Coulibaly,Chicago Sky,Awak Kuier,10.95,2
